project_id,action,source_project_ids,source_family,assessment_rows,defer_to_residential,component_pins,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,multifamily,units_unusable,building_area_unusable,land_area_unusable,reported_construction_year,reported_land_sqft,evidence_ids,location_source,location_id,location_year,location_target_year,corrected_address,historical_location_pin,historical_location_year,zoning_group,zoning_year,zoning_source,zoning_note,decision_references,decision_reason
commercial_13363050010000,update,commercial_13363050010000,commercial,NA,NA,NA,2017,33,64760,18010,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100628089/commercial_two_vintage_history,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row282,The 33-unit permit expired but both later assessor vintages consistently report 33 completed apartments
commercial_13363150560000,exclude,commercial_13363150560000,commercial,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row20,The commercial row reports twelve units while the address-specific permit and residential record identify a separate six-unit building
commercial_13363150590000,exclude,commercial_13363150590000,commercial,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row21,The commercial row reports twelve units while the address-specific permit and residential record identify a separate six-unit building
commercial_13363280310000,update,commercial_13363280310000,commercial,NA,NA,NA,2021,40,62620,17830,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100703318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row283,The completed permit identifies 40 dwelling units and confirms the source total
commercial_13364030160000,update,commercial_13364030160000,commercial,NA,NA,NA,2014,78,109424,44890,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100618944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row284,The completed permit and apartment breakdown identify 78 dwellings; the generic total includes three non-apartment units
commercial_13364140420000,update,commercial_13364140420000,commercial,NA,NA,NA,2020,7,14422,4450,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100739501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row259,The issued new-construction permit identifies seven units while the assessor source reports six
commercial_14073220300000,exclude,commercial_14073220300000,commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row52,The residential use was created by adding two stories to an existing three-story office building
commercial_14083170400000,replace,commercial_14083170400000,commercial,40757,NA,14083170400000,2021,54,47862,4025,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100856500;permit_100860516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row36,Completed full-building permit identifies 10 efficiencies and 44 dwelling units
commercial_14084040010000,update,commercial_14084040010000,commercial,NA,NA,NA,2022,64,NA,13500,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permits_100900621/100906143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row250,The project has verified units and site area but no comparable gross building area
commercial_14171150220000,exclude,commercial_14171150220000,commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row53,The project adds stories above an existing building rather than constructing a new building
commercial_14171200250000,update,commercial_14171200250000,commercial,NA,NA,NA,2022,26,NA,10000,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permits_100873964/100878203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row251,The completed revision and assessor report establish 26 units but no comparable gross building area
commercial_14181140140000,replace,commercial_14181140140000,commercial,40169,NA,14181140140000/14181140210000,2019,19,14000,9909,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100736146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row5,Latest assessor report is used because the conflicting 24-unit permit expired
commercial_14194140460000,update,commercial_14194140460000,commercial,NA,NA,NA,2015,47,45362,34176,TRUE,TRUE,NA,NA,NA,NA,NA,NA,100603054,NA,NA,NA,NA,NA,NA,NA,Planned Development,2015,ordinance_history,"Ordinance 18029 was adopted July 30, 2014, before the corrected 2015 construction year.",construction_modifications.csv:row304 | corrected_year_zoning_decisions.csv:row3,"The project is 3400 N Lincoln, not the historical 1728 W Roscoe parcel address. The new-building permit and City housing report place construction in 2015; the permit revision reduced the planned unit count from 48 to 47. | Ordinance 18029 was adopted July 30, 2014, before the corrected 2015 construction year."
commercial_14201040060000,update,commercial_14201040060000,commercial,NA,NA,NA,2022,9,NA,5140,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permit_100817949/commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row252,The project has verified units and site area but no comparable gross building area
commercial_14202240190000,update,commercial_14202240190000,commercial,NA,NA,NA,2022,18,NA,11868,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permit_100890019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row253,The project has verified units and site area but no comparable gross building area
commercial_14202300160000,replace,commercial_14202300160000,commercial,39735,NA,14202300160000/14202300200000,2012,79,79309,163152,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row32,Two 2021 rows repeat the full building fields; the single 2024 entity is retained
commercial_14203000310000,replace,commercial_14203000310000,commercial,40620,NA,14203000310000/14203000320000/14203000330000,2020,136,107810,45271,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100690738;permit_100695945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row6,Completed permit and project engineer identify 136 assisted-living and memory-care units
commercial_14203080100000,update,commercial_14203080100000,commercial,NA,NA,NA,2022,53,NA,16585,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permit_100912748/commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row254,The project has verified units and site area but no comparable gross building area
commercial_14204030750000,replace,commercial_14204030040000/commercial_14204030750000,commercial,40195/NA,NA,14204030040000/14204030050000/14204030070000/14204030080000/14204030220000/14204030230000/14204030240000/14204030250000/14204030640000/14204030650000/14204030670000/14204030700000/14204030750000/14204030760000,2018,148,400024,93015,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_duplicate_review_005/PD1164/permit_100684427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row3,The two source families are one 148-unit project and the official planned-development net site area replaces both inconsistent workbook land fields
commercial_14204180360000,update,commercial_14204180360000,commercial,NA,NA,NA,2021,139,123832,23267,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permits_100794249/100879049/commercial_2021_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row263,The completed assessor record contains 139 apartments while the plans and permits authorized 140; the earlier vintage supplies gross building area for the same PIN
commercial_14213040110000,update,commercial_14213040110000,commercial,NA,NA,NA,2022,198,NA,69112,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permits_100875573/100889829/100895324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row255,The project has verified units and site area but no comparable gross building area
commercial_14213120380000,update,commercial_14213120380000,commercial,NA,NA,NA,2017,18,NA,10956,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permit_100588610/commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row264,The completed assessor record and permit chain establish 18 apartments but no comparable gross building area is available
commercial_14283120910000,update,commercial_14283120910000,commercial,NA,NA,NA,2018,149,196084,28269,TRUE,TRUE,NA,NA,NA,NA,NA,NA,Belmont_Village_Lincoln_Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row285,The project source identifies 149 assisted-living and memory-care apartments rather than beds
commercial_14283160520000,update,commercial_14283160520000,commercial,NA,NA,NA,2022,14,NA,4334,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,permit_100861679/commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row265,The completed permit and assessor record establish 14 apartments but no comparable gross building area is available
commercial_14291000140000,update,commercial_14291000140000,commercial,NA,NA,NA,2022,9,NA,3992,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,commercial_2024/address_permit_history,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row256,The latest assessor report identifies nine apartments and a verified site but no comparable gross building area
commercial_14294161030000,exclude,commercial_14294161030000,commercial,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row19,The nine-unit commercial rollup combines two separate residential buildings that are retained from the residential source
commercial_14294190020000,exclude,commercial_14294190020000,commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row43,Available evidence identifies an older building rather than 2015 ground-up construction
commercial_14294190080000,replace,commercial_14294190080000,commercial,64837,NA,14294190090000,2017,8,9945,4770,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row15,The later 16-unit entity is replaced by two separately measured eight-unit Altgeld buildings
commercial_14294190090000,replace,commercial_14294190080000,commercial,64746,NA,14294190080000,2017,8,9945,3000,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row15,The later 16-unit entity is replaced by two separately measured eight-unit Altgeld buildings
commercial_14294190580000,replace,commercial_14294190580000,commercial,66560/40030,NA,14294190580000/14294190650000,2018,191,268310,46136,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100668624/Elevate_Lincoln_Park_offering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row40,The 2021 component set describes the completed Elevate Lincoln Park building while the later added PIN expands the assessed site beyond the construction project
commercial_14301040010000,replace,commercial_14301040010000,commercial,65887,NA,14301040010000/14301040020000,2006,8,8938,5681,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100120202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row22,Completed permit establishes the 2006 construction episode and the 2021 report supplies physical fields
commercial_14301220270000_building_a,replace,commercial_14301220270000,commercial,66582,NA,14301220270000/14301220280000/14301220290000/14301220300000,2019,15,26556,3125,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_manual_decision_006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row9,The later 30-unit entity is disaggregated to the first separately permitted 15-unit Clybourn building
commercial_14301220460000_building_b,replace,commercial_14301220270000,commercial,66583,NA,14301220460000,2019,15,26556,15625,TRUE,TRUE,NA,NA,NA,NA,NA,NA,commercial_manual_decision_006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row10,The later 30-unit entity is disaggregated to the second separately permitted 15-unit Clybourn building
commercial_14301230060000,exclude,commercial_14301230060000,commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row37,The entity combines rehabilitated historic buildings with a separately retained 59-unit new building
commercial_14303020298002,update,commercial_14303020298002,commercial,39719,NA,NA,2017,59,NA,NA,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,permit_100684005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row7,Completed permit and developer record identify a 59-unit new building
commercial_14303140460000,update,commercial_14303140460000,commercial,NA,NA,NA,2021,34,46400,13944,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100647438/commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row286,The source bedroom fields omit four apartments while the generic total and address-specific 34-dwelling permit agree
commercial_14312120200000,update,commercial_14312120200000,commercial,NA,NA,NA,2021,298,311556,142556,TRUE,TRUE,NA,NA,NA,NA,NA,NA,Triangle_Square_completion_and_permits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row287,The source reports 298 completed apartments and the project is conventional multifamily construction
commercial_14313080700000,replace,commercial_14313080700000,commercial,59505,NA,14313080700000,2018,44,62719,11444,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100652264;permit_100666018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row8,Completed permits and contemporaneous leasing material identify 44 apartments
commercial_14313090210000,update,commercial_14313090210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,completed_permit,100073282,NA,2010,NA,NA,NA,NA,NA,NA,NA,commercial_reviewed_locations.csv:row2,Exact new-building permit confirms 15 apartments and two retail spaces; retain Assessor completion proxy
commercial_14321060130000,update,commercial_14321060130000,commercial,42890,NA,NA,2006,NA,85214,54638,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,commercial_2021;commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row9,Student-housing room count is not treated as a dwelling-unit count
commercial_14333000110000,exclude,commercial_14333000110000,commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row54,The project is an addition to an existing nineteenth-century building
commercial_16013050010000,replace,commercial_16013050010000,commercial,79885/59574,NA,16013050010000/16013050020000/16013050030000/16013050040000/16013050050000/16013050060000/16013050070000/16013050080000/16013050090000,2015,49,63612,37732,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permit_100583280/100603885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row33,The expanded component set is one completed 49-unit project and its parcel union agrees with the latest assessor site area
commercial_16014000010000,replace,commercial_16014000010000,commercial,59594,NA,16014000010000/16014000020000,2006,30,34725,14640,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,commercial_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_manual_decisions.csv:row55 | construction_building_types.csv:row12,"Stable assessor characteristics identify a 30-unit building constructed in 2006 | The exact commercial parcel record confirms the apartment use, 34,725 square feet of building area, and parcel identity. No conflicting pre-period structure or later conversion was found."
commercial_16022280210000,replace,commercial_16022280210000,commercial,83620/59658,NA,16022280200000/16022280210000/16022280220000/16022280230000,2006,9,16131,12401,TRUE,TRUE,NA,NA,NA,NA,NA,NA,city_building_864011/commercial_2021_2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_component_overrides.csv:row34,The four current components form one 2006 nine-unit project and the City footprint independently supports the construction year
commercial_16111020190000,update,commercial_16111020190000,commercial,NA,NA,NA,2020,7,8307,6000,TRUE,TRUE,NA,NA,NA,NA,NA,NA,permits_100744642/100828527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,construction_modifications.csv:row260,The revision increases the completed project from six to seven units and the permit timing supports a 2020 completion year
