source_project_id,action,final_project_id,decision_reason,evidence_ids,confidence
residential_14192160490000,exclude_recorded_review,,"The townhouse was built and sold before 2006. Contemporary records place the five-home cluster in 2003-2004, and the 2008 footprint reports 1995 rather than a sample-period replacement.",https://www.homes.com/property/1602-w-grace-st-chicago-il/8myvct6hm2n84/,high
residential_14192160500000,exclude_recorded_review,,"The townhouse sold in 2004. Contemporary records place the five-home cluster in 2003-2004, and the 2008 footprint reports 1995 rather than a sample-period replacement.",https://www.redfin.com/IL/Chicago/1604-W-Grace-St-60613/home/21786051,high
residential_14192160510000,exclude_recorded_review,,"The townhouse sold in 2003 and 2005. Contemporary records place the five-home cluster in 2003-2004, and the 2008 footprint reports 1995 rather than a sample-period replacement.",https://www.redfin.com/IL/Chicago/1606-W-Grace-St-60613/home/26808024,high
residential_14192160520000,exclude_recorded_review,,"The townhouse was built before 2006. Contemporary records place the five-home cluster in 2003-2004, and the 2008 footprint reports 1995 rather than a sample-period replacement.",https://www.zillow.com/homedetails/1608-W-Grace-St-Chicago-IL-60613/89977460_zpid/,high
residential_17072160370000,exclude_recorded_review,,"The same improved property sold repeatedly before 2014, including in 2004 and 2009, and the listing identifies an older rehabilitated house. Nearby new-building permits cannot be assigned to this exact parcel.",https://www.redfin.com/IL/Chicago/1930-W-Race-Ave-60622/home/23122348,high
residential_17311070250000,exclude_recorded_review,,"The same 1,159-square-foot improved property sold twice in 2004. The official snapshots preserve substantially the same footprint, and no demolition or new-building permit supports the Assessor's later 2008 date.",411708029/500708059,high
residential_14081170090000,exclude_recorded_review,,"The parcel sold as land in December 2004 and as land plus building in December 2005. The sample begins in 2006, so the Assessor's later 2009 date is not a sample-period construction project.",503241022/808133170,high
residential_14322230420000,exclude_recorded_review,,"The prior three-unit building was demolished in 2010. The only 2011 construction permit is for a 617-square-foot accessory shed, matching the small one-story record that the Assessor labeled as a new residence.",100367579/100378008,high
residential_16021050060000,exclude_recorded_review,,"The parcel sold as land in 2005 and as land plus building in 2006, while the 2008 footprint reports 2005 and remains physically stable. No 2014 replacement permit or footprint change supports the Assessor's much later date.",526405213/626440035,high
residential_19012220320000,exclude_recorded_review,,The property sold as land plus building in March 2006 and the official 2008 footprint reports a 2005 structure that persists through later snapshots. No demolition or new-building permit supports the Assessor's 2017 date.,609333065,high
residential_13223230070000,exclude_recorded_review,,"A 2009 City permit repairs the existing rear porch, and the recorded sale history predates the Assessor's 2008 construction year. The Assessor new-construction designation does not represent a new building.",100297210,high
residential_13231210400000,exclude_recorded_review,,City permits in 2006 and 2008 describe alterations to an existing three-story residence. The Assessor new-construction designation does not represent a new building.,100113182/100256106,high
residential_multicard_13252030410000,withhold_density,,The two-card numerator uses a parent parcel containing five homes; three homes are separately retained and the parcel cuts across permitted building groups. No supported shared-land allocation is available.,Assessor PIN 13252030410000 assessment 2008; City permits 100110249/100110230/100109483/100109481/100109482,recorded_decision
residential_multicard_17271290150000,withhold_density,,The 29-home numerator uses a parent parcel containing six additional reported homes. Permit chronology conflicts with several reported pre-2006 years; the land allocation and completed episode are unresolved.,Assessor PIN 17271290150000 assessment 2008; City permits 100125952/100125948; PD 986 approval pages 34-36,recorded_decision
residential_multicard_19111200130000,withhold_density,,The seven-card numerator uses a large development tract covering other construction phases; matched homes span different planned subareas. No supported episode-level land allocation is available.,Assessor PIN 19111200130000 assessment 2007; Park Place 2013 PD 989 submission page 107,recorded_decision
residential_multicard_13042080370000,withhold_density,,The Lenox site is represented by a two-house parent dated 2008 and two individual houses dated 2019. The original 2007 permits were reinstated in 2018. Completion timing and the correct single representation remain unresolved; retain records but exclude density pending resolution.,City permits 100163191/100163192 issued 2007-02-28; reinstatements 100784145/100784138 issued 2018-09-20; successor PINs 13042080410000/13042080420000,recorded_decision
residential_13042080410000,withhold_density,,The Lenox site is represented by a two-house parent dated 2008 and two individual houses dated 2019. The original 2007 permits were reinstated in 2018. Completion timing and the correct single representation remain unresolved; retain records but exclude density pending resolution.,City permits 100163191/100163192 issued 2007-02-28; reinstatements 100784145/100784138 issued 2018-09-20; successor PINs 13042080410000/13042080420000,recorded_decision
residential_13042080420000,withhold_density,,The Lenox site is represented by a two-house parent dated 2008 and two individual houses dated 2019. The original 2007 permits were reinstated in 2018. Completion timing and the correct single representation remain unresolved; retain records but exclude density pending resolution.,City permits 100163191/100163192 issued 2007-02-28; reinstatements 100784145/100784138 issued 2018-09-20; successor PINs 13042080410000/13042080420000,recorded_decision
